Norman SusDat ID,Substance,CAS No.,Lowest PNEC Freshwater [??g//l],Date
NS00008260,"2,6-Dichlorobenzamide",CAS_RN: 2008-58-4,78,2024/2/5
NS00008266,Diazinon,CAS_RN: 333-41-5,0.01,2018/10/3
NS00008271,Methomyl,CAS_RN: 16752-77-5,0.032,2024/4/11
NS00008276,Vinyl chloride,CAS_RN: 75-01-4,0.05,2024/2/5
NS00008293,Dimoxystrobin,CAS_RN: 149961-52-4,0.0316,2023/5/21
NS00008307,Methyl tert-butyl ether,CAS_RN: 1634-04-4,2600,2024/4/11
NS00008309,Pyroxsulam,CAS_RN: 422556-08-9,0.068,2024/4/11
NS00008335,Cinosulfuron,CAS_RN: 94593-91-6,4.8,2018/10/3
NS00008351,"Trans-10,11-Dihydroxy-10,11-dihydrocarbazepine",CAS_RN: 58955-93-4,100,2024/4/11
NS00008355,Butane,CAS_RN: 106-97-8,0.2,2018/10/3
NS00008362,2-Undecanone,CAS_RN: 112-12-9,0.23,2023/5/21
NS00008365,Diphenamid,CAS_RN: 957-51-7,0.058,2018/10/3
NS00008377,Naphthalene,CAS_RN: 91-20-3,2,2024/4/11
NS00008379,Cyazofamid,CAS_RN: 120116-88-3,1.1,2024/4/11
NS00008387,Metazachlor ESA,CAS_RN: 172960-62-2,91.9,2024/4/11
NS00008394,"Indeno(1,2,3-cd)pyrene",CAS_RN: 193-39-5,0.00017,2024/4/11
NS00008403,Diazepam,CAS_RN: 439-14-5,0.291,2018/10/3
NS00008407,"Dibenz[a,h]anthracene",CAS_RN: 53-70-3,0.0014,2024/2/5
NS00008411,Nicosulfuron,CAS_RN: 111991-09-4,0.0087,2024/4/11
NS00008419,Captan,CAS_RN: 133-06-2,0.34,2024/4/11
NS00008424,Bis(2-ethylhexyl)hexanedioate,CAS_RN: 103-23-1,0.7,2024/2/5
NS00008441,Dodecanoic acid,CAS_RN: 143-07-7,1.58,2023/5/21
NS00008448,Oxadiazon,CAS_RN: 19666-30-9,0.09,2024/4/11
NS00008451,Thiodicarb,CAS_RN: 59669-26-0,0.16,2024/4/11
NS00008452,Sulfur,CAS_RN: 7704-34-9,0.2,2023/5/21
NS00008454,"3,4,5-Trichlorophenol",CAS_RN: 609-19-8,0.2,2018/10/3
NS00008459,Pencycuron,CAS_RN: 66063-05-6,1.34,2024/4/11
NS00008464,Linezolid,CAS_RN: 165800-03-3,8,2024/4/11
NS00008470,Clodinafop,CAS_RN: 114420-56-3,3.2,2024/2/5
NS00008517,17Beta-Estradiol,CAS_RN: 50-28-2,0.0004,2024/4/11
NS00008526,1-Chloro-3-nitrobenzene,CAS_RN: 121-73-3,0.55,2018/10/3
NS00008540,Kresoxim-methyl,CAS_RN: 143390-89-0,0.63,2024/4/11
NS00008541,Ethylene glycol dimethyl ether,CAS_RN: 110-71-4,500,2024/2/5
NS00008560,Bupirimate,CAS_RN: 41483-43-6,10,2024/4/11
NS00008572,Ethylmorphine,CAS_RN: 76-58-4,100,2018/10/3
NS00008583,Daptomycin,CAS_RN: 103060-53-3,1,2024/4/11
NS00008601,17Alpha-Ethinylestradiol (EE2),CAS_RN: 57-63-6,0.000037,2024/4/11
NS00008615,Duloxetine,CAS_RN: 116539-59-4,0.43,2023/5/25
NS00008630,Furosemide,CAS_RN: 54-31-9,31.3,2023/5/25
NS00008644,Empenthrin,CAS_RN: 54406-48-3,0.0017,2024/4/11
NS00008648,Fluazinam,CAS_RN: 79622-59-6,0.29,2024/4/11
NS00008649,"4-(1,1,3,3-Tetramethylbutyl)phenol",CAS_RN: 140-66-9,0.1,2024/4/11
NS00008659,Fluoxastrobin,CAS_RN: 361377-29-9,0.012,2024/4/11
NS00008662,Cefuroxime,CAS_RN: 55268-75-2,0.5,2024/4/11
NS00008665,Cimetidine,CAS_RN: 51481-61-9,176,2023/5/25
NS00008670,Pentobarbital,CAS_RN: 76-74-4,49.5,2018/10/3
NS00008689,Metosulam,CAS_RN: 139528-85-1,0.015,2024/4/11
NS00008709,2-Chloro-1-methyl-4-nitrobenzene,CAS_RN: 121-86-8,6,2018/10/3
NS00008725,Bromofos,CAS_RN: 2104-96-3,0.0022,2018/10/3
NS00008732,Phencyclidine,CAS_RN: 77-10-1,0.17,2018/10/3
NS00008753,Quizalofop-p-ethyl,CAS_RN: 100646-51-3,2.1,2023/5/21
NS00008760,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran (Galaxolide)",CAS_RN: 1222-05-5,7,2018/10/3
NS00008779,Phenylephrine,CAS_RN: 59-42-7,4.59,2018/10/3
NS00008782,Simvastatin,CAS_RN: 79902-63-9,2.63,2018/10/3
NS00008785,Benzoic acid,CAS_RN: 65-85-0,44.6,2018/10/3
NS00008796,Formoterol,CAS_RN: 73573-87-2,300,2023/5/25
NS00008805,Carbosulfan,CAS_RN: 55285-14-8,0.015,2023/5/21
NS00008817,Dichlofluanid,CAS_RN: 1085-98-9,0.26,2018/10/3
NS00008822,Losartan,CAS_RN: 114798-26-4,78,2018/10/3
NS00008826,Desloratadine,CAS_RN: 100643-71-8,36,2023/5/25
NS00008830,Carbetamide,CAS_RN: 16118-49-3,0.37,2018/10/3
NS00008837,Diflufenican,CAS_RN: 83164-33-4,0.01,2024/4/11
NS00008841,Diquat,CAS_RN: 2764-72-9,0.22,2018/10/3
NS00008842,Dithianon,CAS_RN: 3347-22-6,0.097,2024/4/11
NS00008846,Vandetanib,CAS_RN: 443913-73-3,1,2023/5/25
NS00008861,Octanoic acid,CAS_RN: 124-07-2,4.7,2023/5/21
NS00008865,Bisphenol A,CAS_RN: 80-05-7,0.24,2024/4/11
NS00008883,Amoxicillin,CAS_RN: 26787-78-0,0.078,2024/4/11
NS00008890,Heptachlor epoxide B,CAS_RN: 1024-57-3,0.00000017,2024/4/11
NS00008895,Chloridazon,CAS_RN: 1698-60-8,10,2024/4/11
NS00008924,Methyl bromide,CAS_RN: 74-83-9,26,2023/5/21
NS00008927,Propisochlor,CAS_RN: 86763-47-5,10.5,2023/5/21
NS00008938,Triflumuron,CAS_RN: 64628-44-0,0.016,2023/5/21
NS00008940,Hydroxyphenoxy propionic acid,CAS_RN: 94050-90-5,35,2024/2/5
NS00008943,5-Methyl-1H-benzotriazole,CAS_RN: 136-85-6,150,2018/10/3
NS00008963,"4,4-Methylenedimorpholine",CAS_RN: 5625-90-1,28,2023/5/21
NS00008969,Allethrin,CAS_RN: 584-79-2,0.024,2018/10/3
NS00008970,"p,p'-DDT",CAS_RN: 50-29-3,0.01,2024/4/11
NS00008982,Trifluralin,CAS_RN: 1582-09-8,0.03,2024/4/11
NS00009054,Atorvastatin,CAS_RN: 134523-00-5,8.5,2024/4/11
NS00009093,Allyl chloride,CAS_RN: 107-05-1,0.35,2018/10/3
NS00009121,Resmethrin,CAS_RN: 10453-86-8,0.0037,2018/10/3
NS00009134,(Pentabromophenyl)methyl acrylate,CAS_RN: 59447-55-1,0.017,2018/10/3
NS00009136,Epoxiconazole,CAS_RN: 133855-98-8,0.2,2024/4/11
NS00009143,Cymoxanil,CAS_RN: 57966-95-7,3,2024/4/11
NS00009155,Estriol,CAS_RN: 50-27-1,0.06,2018/10/3
NS00009161,Azinphos-ethyl,CAS_RN: 2642-71-9,0.0011,2018/10/3
NS00009164,Ethylbenzene,CAS_RN: 100-41-4,0.49,2018/10/3
NS00009172,Imatinib,CAS_RN: 152459-95-5,96,2023/5/25
NS00009180,Clothianidin,CAS_RN: 210880-92-5,0.01,2024/4/11
NS00009182,Deltamethrin,CAS_RN: 52918-63-5,0.0000017,2024/4/11
NS00009195,"Ethanamine, 2-ethoxy-",CAS_RN: 110-76-9,152,2024/2/5
NS00009240,1-Chloro-4-nitrobenzene,CAS_RN: 100-00-5,2.8,2018/10/3
NS00009245,Flutolanil,CAS_RN: 66332-96-5,18,2024/4/11
NS00009250,Terbacil,CAS_RN: 5902-51-2,0.011,2024/4/11
NS00009261,"2,4-Dinitrotoluene",CAS_RN: 121-14-2,2,2018/10/3
NS00009273,Propanil,CAS_RN: 709-98-8,0.2,2018/10/3
NS00009281,Candesartan,CAS_RN: 139481-59-7,100,2024/4/11
NS00009290,Pyrethrin I,CAS_RN: 121-21-1,0.0014,2018/10/3
NS00009297,Dinoterb,CAS_RN: 1420-07-1,0.03,2018/10/3
NS00009306,"1,1,1-Trichloro-2-methyl-2-propanol",CAS_RN: 57-15-8,135,2024/2/5
NS00009319,Tilmicosin,CAS_RN: 108050-54-0,1,2024/4/11
NS00009344,Ceftazidime,CAS_RN: 72558-82-8,0.5,2024/4/11
NS00009348,Acrinathrin,CAS_RN: 101007-06-1,0.00032,2024/4/11
NS00009352,Gardona (trans-isomer),CAS_RN: 22350-76-1,0.002,2018/10/3
NS00009374,Dioxacarb,CAS_RN: 6988-21-2,0.27,2018/10/3
NS00009379,Teflubenzuron,CAS_RN: 83121-18-0,0.0012,2024/4/11
NS00009389,Perfluorooctanoic acid (PFOA),CAS_RN: 335-67-1,0.178,2018/10/3
NS00009397,Sumatriptan,CAS_RN: 103628-46-2,250,2023/5/25
NS00009398,Bis(dimethylaminothiocarbonyl) disulfide,CAS_RN: 137-26-8,0.032,2018/10/3
NS00009400,Triethyl phosphate (TEP),CAS_RN: 78-40-0,1600,2024/4/11
NS00009412,Enzacamene,CAS_RN: 36861-47-9,0.171,2018/10/3
NS00009416,Mesosulfuron-methyl,CAS_RN: 208465-21-8,0.027,2024/4/11
NS00009433,Halofenozide,CAS_RN: 112226-61-6,1,2018/10/3
NS00009439,Pyriproxyfen,CAS_RN: 95737-68-1,0.0015,2024/4/11
NS00009441,Mirtazapine,CAS_RN: 61337-67-5,1,2018/10/3
NS00009444,Bensulfuron-methyl,CAS_RN: 83055-99-6,0.01,2018/10/3
NS00009445,Demeton-S,CAS_RN: 126-75-0,0.14,2018/10/3
NS00009449,Pentachlorophenol,CAS_RN: 87-86-5,0.4,2024/4/11
NS00009465,Flupyrsulfuron,CAS_RN: 150315-10-9,0.008,2024/4/11
NS00009484,Phenanthrene,CAS_RN: 85-01-8,0.5,2018/10/3
NS00009509,Flupyrsulfuron-methyl,CAS_RN: 144740-53-4,0.22,2024/2/5
NS00009538,Indole-3-butyric acid,CAS_RN: 133-32-4,1120,2023/5/21
NS00009539,Alpha-Cyhalothrin,CAS_RN: 68085-85-8,0.00002,2018/10/3
NS00009540,Diflubenzuron,CAS_RN: 35367-38-5,0.004,2024/4/11
NS00009562,"1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane (o,p'-DDD)",CAS_RN: 53-19-0,0.00394,2018/10/3
NS00009564,Imazalil,CAS_RN: 35554-44-0,0.87,2018/10/3
NS00009572,Tris(2-chloroisopropyl)phosphate (TCPP),CAS_RN: 13674-84-5,260,2024/4/11
NS00009586,Ethoxyquin,CAS_RN: 91-53-2,20,2023/5/21
NS00009620,Flurtamone,CAS_RN: 96525-23-4,1.5,2024/2/5
NS00009622,Florfenicol,CAS_RN: 73231-34-2,2,2024/4/11
NS00009629,Asulam,CAS_RN: 3337-71-1,4.7,2024/4/11
NS00009634,Iodenphos,CAS_RN: 18181-70-9,0.0016,2018/10/3
NS00009640,Cloxyquin,CAS_RN: 130-16-5,0.027,2024/2/5
NS00009682,Piperacillin,CAS_RN: 59703-84-3,0.5,2024/4/11
NS00009683,Imazaquin,CAS_RN: 81335-37-7,3.1,2023/5/21
NS00009694,Spiroxamine,CAS_RN: 118134-30-8,0.063,2024/4/11
NS00009710,Picolinafen,CAS_RN: 137641-05-5,0.007,2018/10/18
NS00009720,RU 24501,CAS_RN: 65731-84-2,0.00015,2023/5/21
NS00009724,Cyphenothrin,CAS_RN: 39515-40-7,0.0081,2024/4/11
NS00009734,Benzyl butyl phthalate,CAS_RN: 85-68-7,5.2,2024/4/11
NS00009744,Viomycin,CAS_RN: 32988-50-4,2,2024/4/11
NS00009752,Nonanoic acid,CAS_RN: 112-05-0,0.5,2018/10/3
NS00009775,Benzyl alcohol,CAS_RN: 100-51-6,10,2018/10/3
NS00009778,Azoxystrobin,CAS_RN: 131860-33-8,0.2,2024/4/11
NS00009782,Acrolein,CAS_RN: 107-02-8,0.1,2024/2/5
NS00009783,Benzene,CAS_RN: 71-43-2,10,2024/4/11
NS00009789,"2,4,6-Trinitrotoluene",CAS_RN: 118-96-7,0.62,2018/10/3
NS00009792,"2,4'-Difluorobenzophenone",CAS_RN: 342-25-6,0.082,2024/2/5
NS00009798,"2,6-Dichloroaniline",CAS_RN: 608-31-1,3,2018/10/3
NS00009821,Coumaphos,CAS_RN: 56-72-4,0.0007,2024/2/5
NS00009829,Nalidixic acid,CAS_RN: 389-08-2,16,2024/4/11
NS00009838,Fluazifop-P,CAS_RN: 83066-88-0,14.6,2024/4/11
NS00009846,Thifensulfuron,CAS_RN: 79277-67-1,0.8,2024/4/11
NS00009868,Ioxynil,CAS_RN: 1689-83-4,0.13,2024/4/11
NS00009881,"1,2-Dichloropropane",CAS_RN: 78-87-5,280,2018/10/3
NS00009891,Anthranilic acid,CAS_RN: 118-92-3,19.4,2024/2/5
NS00009893,Diethyl phthalate,CAS_RN: 84-66-2,73,2024/4/11
NS00009898,Prasugrel,CAS_RN: 150322-43-3,19,2023/5/25
NS00009904,Terbufos,CAS_RN: 13071-79-9,0.00022,2018/10/3
NS00009929,Bisoprolol,CAS_RN: 66722-44-9,92,2024/4/11
NS00009946,Theobromine,CAS_RN: 83-67-0,100,2018/10/3
NS00009963,Paclobutrazol,CAS_RN: 76738-62-0,0.2,2024/4/11
NS00009965,"2,3,4,5-Tetrachlorophenol",CAS_RN: 4901-51-3,1,2018/10/3
NS00009991,"1,2,4,5-Tetrachlorobenzene",CAS_RN: 95-94-3,0.06,2018/10/3
NS00010000,Methamidophos,CAS_RN: 10265-92-6,2.6,2018/10/3
NS00010002,Chlormequat,CAS_RN: 7003-89-6,240,2023/5/21
NS00010003,Neomycin,CAS_RN: 1404-04-2,2,2024/4/11
NS00010013,Oxydemeton-methyl,CAS_RN: 301-12-2,1.1,2024/2/5
NS00010020,2-Ethylhexyl diphenyl phosphate (EHDP),CAS_RN: 1241-94-7,0.018,2018/10/3
NS00010021,Chlorpropham,CAS_RN: 101-21-3,4,2024/4/11
NS00010037,"3,4-Dichloronitrobenzene",CAS_RN: 99-54-7,1.4,2018/10/3
NS00010041,Clomazone,CAS_RN: 81777-89-1,3.2,2024/4/11
NS00010045,Phenol,CAS_RN: 108-95-2,7.7,2024/4/11
NS00010090,Metsulfuron-methyl,CAS_RN: 74223-64-6,0.01,2024/4/11
NS00010095,"Dibutyl 1,2-benzenedicarboxylate",CAS_RN: 84-74-2,10,2024/4/11
NS00010096,Disulfiram,CAS_RN: 97-77-8,0.02,2024/4/11
NS00010103,"2,5,8,11,14-Pentaoxapentadecane",CAS_RN: 143-24-8,32000,2018/10/3
NS00010104,Triticonazole,CAS_RN: 131983-72-7,1,2024/4/11
NS00010153,Flurochloridone,CAS_RN: 61213-25-0,0.014,2024/4/11
NS00010154,Levofloxacin,CAS_RN: 100986-85-4,0.25,2024/4/11
NS00010155,Everolimus,CAS_RN: 159351-69-6,0.0014,2023/5/25
NS00010163,1-Octanol,CAS_RN: 111-87-5,10,2018/10/3
NS00010175,Thiamethoxam,CAS_RN: 153719-23-4,0.04,2024/4/11
NS00010176,Flumioxazin,CAS_RN: 103361-09-7,0.00085,2024/4/11
NS00010178,Dapoxetine,CAS_RN: 119356-77-3,0.73,2023/5/25
NS00010181,Cefpirome,CAS_RN: 84957-29-9,0.06,2024/4/11
NS00010188,Trichlorfon,CAS_RN: 52-68-6,0.00096,2018/10/3
NS00010206,Chlorobenzene,CAS_RN: 108-90-7,1.5,2024/4/11
NS00010208,Bromoacetic acid,CAS_RN: 79-08-3,10,2023/5/21
NS00010239,"2,3,4,6-Tetrachlorophenol",CAS_RN: 58-90-2,1,2018/10/3
NS00010251,Biphenyl,CAS_RN: 92-52-4,3.3,2024/4/11
NS00010255,Tributyl phosphate,CAS_RN: 126-73-8,37,2024/4/11
NS00010257,Norfentanyl,CAS_RN: 1609-66-1,73,2018/10/3
NS00010259,Topiramate,CAS_RN: 97240-79-4 ,930,2023/5/25
NS00010260,2-Aminobenzothiazole,CAS_RN: 136-95-8 ,1,2018/10/3
NS00010261,"1,2,3-Benzotriazole",CAS_RN: 95-14-7 ,19,2024/4/11
NS00010262,Melamine,CAS_RN: 108-78-1,360,2018/10/3
NS00010263,Cotinine,CAS_RN: 486-56-6 ,10,2018/10/3
NS00010265,Carbendazim,CAS_RN: 10605-21-7,0.44,2024/4/11
NS00010266,Schradan,CAS_RN: 152-16-9,22,2018/10/3
NS00010268,Dimethyl phthalate,CAS_RN: 131-11-3 ,192,2018/10/18
NS00010269,Prometryn,CAS_RN: 7287-19-6,0.5,2024/4/11
NS00010271,Triphenyl phosphate (TPHP),CAS_RN: 115-86-6,0.17,2024/4/11
NS00010274,Salicylic acid,CAS_RN: 69-72-7 ,18,2018/10/3
NS00010276,Perfluorobutanesulfonic acid (PFBS),CAS_RN: 375-73-5,372,2018/10/3
NS00010278,Fluometuron,CAS_RN: 2164-17-2 ,0.32,2018/10/3
NS00010280,Perfluorooctanesulfonic acid (PFOS),CAS_RN: 1763-23-1,0.002,2024/4/11
NS00010281,Gemfibrozil,CAS_RN: 25812-30-0 ,0.5,2018/10/3
NS00010282,Triclosan,CAS_RN: 3380-34-5,0.02,2024/4/11
NS00010283,4-Nonylphenol,CAS_RN: 104-40-5,0.043,2024/4/11
NS00010289,Prometon,CAS_RN: 1610-18-0,0.049,2024/4/11
NS00010292,Ancymidol,CAS_RN: 12771-68-5,29.9,2018/10/3
NS00010299,Estrone,CAS_RN: 53-16-7,0.00036,2024/4/11
NS00010308,"2-Ethylhexyl-2-cyano-3,3-diphenylacrylate (Octocrylene)",CAS_RN: 6197-30-4,0.266,2024/4/11
NS00010315,3-Hydroxycarbofuran,CAS_RN: 16655-82-6,4.3,2018/10/3
NS00010316,8-Hydroxyquinoline,CAS_RN: 148-24-3,44.5,2023/5/21
NS00010340,Salmeterol,CAS_RN: 89365-50-4,22,2023/5/25
NS00010346,Tetrahydrozoline,CAS_RN: 84-22-0,2,2018/10/3
NS00010353,Tamoxifen,CAS_RN: 10540-29-1,0.077,2023/5/25
NS00010366,Diphenylamine,CAS_RN: 122-39-4,1.2,2018/10/3
NS00010369,Dipyridamole,CAS_RN: 58-32-2,23.6,2023/5/25
NS00010376,"Estr-4-ene-3,17-dione",CAS_RN: 734-32-7,0.167,2018/10/3
NS00010382,Dodemorph,CAS_RN: 1593-77-7,8,2023/5/21
NS00010385,Atenolol,CAS_RN: 29122-68-7,150,2024/4/11
NS00010386,Ensulizole,CAS_RN: 27503-81-7,100,2018/10/3
NS00010387,Tris(2-chloroethyl) phosphate (TCEP),CAS_RN: 115-96-8,65,2024/4/11
NS00010388,"Tris(1,3-dichloro-2-propyl) phosphate (TDCIPP)",CAS_RN: 13674-87-8,1.1,2018/10/3
NS00010389,Tris(2-butoxyethyl) phosphate (TBOEP),CAS_RN: 78-51-3,24,2018/10/3
NS00010395,Quetiapine,CAS_RN: 111974-69-7,10,2023/5/25
NS00010402,Haloperidol,CAS_RN: 52-86-8,3.7,2023/5/25
NS00010405,Paliperidone,CAS_RN: 144598-75-4,250,2023/5/25
NS00010410,Metamitron,CAS_RN: 41394-05-2,4,2024/4/11
NS00010412,Methylphenidate,CAS_RN: 113-45-1,77,2023/5/25
NS00010414,4-Chlorophenol,CAS_RN: 106-48-9,2,2018/10/3
NS00010416,Temazepam,CAS_RN: 846-50-4,0.0708,2018/10/3
NS00010418,Metoxuron,CAS_RN: 19937-59-8,0.09,2024/4/11
NS00010426,Monolinuron,CAS_RN: 1746-81-2,0.15,2024/4/11
NS00010437,10-Hydroxycarbazepine,CAS_RN: 29331-92-8,100,2018/10/3
NS00010438,Ethofumesate,CAS_RN: 26225-79-6,3.1,2024/4/11
NS00010439,Diphenhydramine,CAS_RN: 58-73-1,0.991,2018/10/3
NS00010440,Chloroxuron,CAS_RN: 1982-47-4,0.0024,2018/10/3
NS00010445,Nicotine,CAS_RN: 54-11-5,5.45,2018/10/3
NS00010453,Amiodarone,CAS_RN: 1951-25-3,1.2,2024/4/11
NS00010458,Dimefuron,CAS_RN: 34205-21-5,0.008,2024/4/11
NS00010461,Linuron,CAS_RN: 330-55-2,0.1,2018/10/18
NS00010463,Methabenzthiazuron,CAS_RN: 18691-97-9,3,2018/10/3
NS00010464,Metobromuron,CAS_RN: 3060-89-7,2,2024/4/11
NS00010469,Cefixime,CAS_RN: 79350-37-1,0.06,2024/4/11
NS00010487,Flamprop,CAS_RN: 58667-63-3,6.8,2018/10/3
NS00010495,4-Nitrophenol,CAS_RN: 100-02-7,5,2018/10/18
NS00010496,"2,4-Dinitrophenol",CAS_RN: 51-28-5,4,2018/10/3
NS00010501,Propyphenazone,CAS_RN: 479-92-5,0.8,2018/10/3
NS00010509,"4-Methyl-1,2,3-benzotriazole",CAS_RN: 29878-31-7,8,2018/10/18
NS00010515,Fexofenadine,CAS_RN: 83799-24-0,200,2024/4/11
NS00010516,Vildagliptin,CAS_RN: 274901-16-5,560,2023/5/25
NS00010522,"Acetic acid, 2-(4-nonylphenoxy)- (NP-1EC)",CAS_RN: 3115-49-9,2,2018/10/3
NS00010535,Pyridaben,CAS_RN: 96489-71-3,0.0017,2018/10/3
NS00010573,Atraton,CAS_RN: 1610-17-9,0.1,2024/4/11
NS00010580,Quinoxyfen,CAS_RN: 124495-18-7,0.15,2024/4/11
NS00010585,Diethofencarb,CAS_RN: 87130-20-9,3.2,2024/4/11
NS00010595,Bifenazate,CAS_RN: 149877-41-8,1.5,2018/10/3
NS00010597,Oxfendazole,CAS_RN: 53716-50-0,1.17,2018/10/3
NS00010598,Oxolinic acid,CAS_RN: 14698-29-4,15,2024/2/5
NS00010600,Propoxur,CAS_RN: 114-26-1,0.01,2018/10/3
NS00010602,Carbofuran,CAS_RN: 1563-66-2,0.016,2024/4/11
NS00010632,Benzophenone,CAS_RN: 119-61-9,5.4,2018/10/3
NS00010636,4-Toluenesulfonamide,CAS_RN: 70-55-3,150,2018/10/3
NS00010644,3-Chloro-2-methylaniline,CAS_RN: 87-60-5,6.2,2018/10/3
NS00010656,Aniline,CAS_RN: 62-53-3 ,0.8,2018/10/3
NS00010658,M-Cresol,CAS_RN: 108-39-4 ,100,2024/2/5
NS00010666,"2,6-Dichlorophenol",CAS_RN: 87-65-0,3.4,2024/2/5
NS00010696,Triphenylphosphine oxide,CAS_RN: 791-28-6 ,12,2018/10/3
NS00010697,Acenaphthylene,CAS_RN: 208-96-8,1.3,2024/2/5
NS00010698,Fluorene,CAS_RN: 86-73-7,0.25,2018/10/3
NS00010699,Anthracene,CAS_RN: 120-12-7,0.1,2024/4/11
NS00010700,Fluoranthene,CAS_RN: 206-44-0,0.000762,2024/4/11
NS00010701,Pyrene,CAS_RN: 129-00-0,0.0046,2024/2/5
NS00010703,Pentachlorobenzene,CAS_RN: 608-93-5,0.007,2024/4/11
NS00010709,m-Xylene,CAS_RN: 108-38-3,10,2024/2/5
NS00010720,Chrysene,CAS_RN: 218-01-9,0.0029,2018/10/3
NS00010721,Benz(a)anthracene,CAS_RN: 56-55-3,0.012,2024/2/5
NS00010729,Diphenyl oxide,CAS_RN: 101-84-8,0.67,2018/10/3
NS00010820,Styrene,CAS_RN: 100-42-5,0.006,2018/10/3
NS00010821,"2,4-Dimethylphenol",CAS_RN: 105-67-9,13.1,2024/2/5
NS00010822,"1,4-Dichlorobenzene",CAS_RN: 106-46-7,6.9,2018/10/3
NS00010827,"1,1,2,2-Tetrachloroethane",CAS_RN: 79-34-5,140,2024/4/11
NS00010833,"N,N-Dimethylaniline",CAS_RN: 121-69-7,50,2018/10/3
NS00010853,Phenethylamine,CAS_RN: 64-04-0,16,2018/10/3
NS00010861,4-Chloroaniline,CAS_RN: 106-47-8,1,2018/10/3
NS00010876,Azinphos-methyl,CAS_RN: 86-50-0,0.0034,2024/4/11
NS00010878,Trifloxystrobin,CAS_RN: 141517-21-7,0.27,2024/4/11
NS00010880,Simetryn,CAS_RN: 1014-70-6,0.0098,2018/10/3
NS00010881,Fenpropimorph,CAS_RN: 76492-92-7,0.02,2018/10/3
NS00010882,Ethion,CAS_RN: 563-12-2,0.00048,2018/10/3
NS00010883,Pirimiphos-methyl,CAS_RN: 29232-93-7,0.0005,2018/10/3
NS00010884,Warfarin,CAS_RN: 81-81-2,1.2,2023/5/21
NS00010885,Prochloraz,CAS_RN: 67747-09-5,1.56,2024/4/11
NS00010886,"2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol",CAS_RN: 120983-64-4,0.33,2024/4/11
NS00010887,Prosulfocarb,CAS_RN: 52888-80-9,0.5,2024/4/11
NS00010889,Enrofloxacin,CAS_RN: 93106-60-6,0.06,2024/4/11
NS00010893,Finasteride,CAS_RN: 98319-26-7,5,2023/5/25
NS00010899,Progesterone,CAS_RN: 57-83-0,1,2018/10/3
NS00010901,2-Phenylphenol,CAS_RN: 90-43-7,0.18,2024/4/11
NS00010902,Diethylstilbestrol,CAS_RN: 56-53-1,4.86,2018/10/3
NS00010905,"4-Androstene-3,17-dione",CAS_RN: 63-05-8,9,2018/10/3
NS00010909,Di(2-ethylhexyl)phthalate  (DEHP),CAS_RN: 117-81-7,1.3,2024/4/11
NS00011447,Gabapentin-lactam,CAS_RN: 64744-50-9,100,2018/10/3
NS00011479,Imazamethabenz methyl                         ,CAS_RN: 81405-85-8,37,2018/10/3
NS00011484,Piperonyl butoxide,CAS_RN: 51-03-6,1.2,2024/4/11
NS00011514,Fludioxonil,CAS_RN: 131341-86-1,1.8,2024/4/11
NS00011559,Cefdinir,CAS_RN: 91832-40-5,0.25,2024/4/11
NS00011614,Amdinocillin,CAS_RN: 32887-01-7,1,2024/4/11
NS00011698,Rifampicin,CAS_RN: 13292-46-1,0.06,2024/4/11
NS00011860,Clinafloxacin,CAS_RN: 105956-97-6,0.5,2024/4/11
NS00011864,Gemifloxacin,CAS_RN: 175463-14-6,0.06,2024/4/11
NS00011897,Tigecycline,CAS_RN: 220620-09-7,1,2024/4/11
NS00012208,"1-Propene, 3,3'-thiobis-",CAS_RN: 592-88-1,93,2023/5/21
NS00013197,Alpha-Terpinene,CAS_RN: 99-86-5,7.56,2023/5/21
NS00013746,Hydrogen peroxide,CAS_RN: 7722-84-1,10,2024/2/5
NS00014206,Phosphenic acid ethyl ester,,860,2023/5/21
NS00014227,Amitrole,CAS_RN: 61-82-5,0.08,2024/4/11
NS00014243,"Diazene, 1-cyclohexyl-2-hydroxy-, 1-oxide, potassium salt (1:1)",CAS_RN: 66603-10-9,9.4,2023/5/21
NS00014245,Sulfuryl fluoride,CAS_RN: 2699-79-8,0.62,2023/5/21
NS00014256,Diosgenin,CAS_RN: 512-04-9,0.00237,2018/10/3
NS00014275,Abamectin,CAS_RN: 71751-41-2,0.00035,2023/5/21
NS00014285,Fosetyl,CAS_RN: 15845-66-6,21.3,2024/2/5
NS00014336,Gadobutrol,CAS_RN: 770691-21-9,100,2023/5/25
NS00014353,Pemetrexed,CAS_RN: 137281-23-3,120,2023/5/25
NS00014357,Rizatriptan,CAS_RN: 144034-80-0,960,2023/5/25
NS00014360,Sevoflurane,CAS_RN: 28523-86-6,250,2023/5/25
NS00014946,Apixaban,CAS_RN: 503612-47-3,360,2023/5/25
NS00014947,Avanafil,CAS_RN: 330784-47-9,100,2023/5/25
NS00015073,Penthiopyrad,CAS_RN: 183675-82-3,5.1,2024/4/11
NS00015269,Demeton-S-methylsulphon,CAS_RN: 17040-19-6,740,2018/10/3
